-7.9,-1.91,0,225,0:
-7.25,2.84,0,45,0:
-5.9,-2.91,0,270,0:
-11.4,-3.41,0,45,0:
-6.9,-5.66,0,90,0:
-4.65,2.34,0,44,0:
-7.9,5.34,0,44,0
;-7.6742,-0.73,0,90,0:
-7.3742,3.17,0,45,0:
-11.5742,2.07,0,90,0:
-5.4742,-2.23,0,270,0:
-8.9742,1.57,0,315,0:
-11.8742,-0.13,180,270,1:
-9.4742,3.17,0,90,0
;6.2,0.68,0,90,0:
4.52,-1.01,0,0,0:
-11.5857,0.27,0,135,0:
6.06,3.01,0,180,0:
3.55,0.6,0,270,0:
-11.5857,-1.23,180,0,1:
4.42,2.23,0,44,0
;6.2,0.68,0,90,0:
4.52,-1.01,0,0,0:
-3.1742,-2.63,0,90,0:
6.06,3.01,0,180,0:
3.55,0.6,0,270,0:
-3.4742,-4.83,180,270,1:
4.42,2.23,0,44,0
