-7.3705,-0.13,0,180,0:
-8.8705,-1.63,0,270,0:
-9.1705,4.17,0,225,0:
-7.8705,1.87,0,135,0:
-5.7705,1.87,0,135,0:
-7.3705,3.47,0,135,0:
-9.3705,2.37,0,180,0
;-7.0705,-1.13,0,180,0:
-9.9705,-1.13,0,0,0:
-7.9705,3.47,0,0,0:
-5.5705,-1.83,0,0,0:
-6.4705,1.07,0,0,0:
-7.9705,1.37,0,225,0:
-4.0705,-1.13,0,225,0
;-9.7705,0.67,0,225,0:
-7.6705,2.17,0,45,0:
-6.5705,4.27,0,0,0:
-7.9705,-1.03,0,90,0:
-5.0705,1.87,0,90,0:
-9.3705,-1.43,180,224,1:
-5.7705,0.47,0,315,0
;-9.7705,0.67,0,225,0:
-7.6705,-1.53,0,225,0:
-6.6705,4.87,0,0,0:
-8.1705,3.27,0,45,0:
-10.1705,-1.13,0,180,0:
-7.6705,1.67,180,315,1:
-5.5705,2.77,0,0,0
;-7.4705,-1.53,0,0,0:
-7.4705,1.47,0,180,0:
-7.4705,-4.03,0,180,0:
-8.1705,-0.03,0,270,0:
-6.7705,-0.03,0,90,0:
-9.6705,0.67,180,90,1:
-7.4705,3.97,0,0,0
;-6.6705,1.27,0,90,0:
-9.2705,-0.63,0,225,0:
-4.1705,-0.73,0,270,0:
-7.4705,2.77,0,270,0:
-7.4705,-0.23,0,270,0:
-4.4705,2.07,180,270,1:
-6.7705,-1.63,0,135,0
;-7.1705,1.47,0,135,0:
-9.2705,-0.63,0,225,0:
-9.2705,2.47,0,270,0:
-4.5705,1.97,0,315,0:
-5.5705,-0.13,0,45,0:
-6.1705,3.57,180,45,1:
-7.1705,-0.63,0,180,0
;-8.1705,3.47,0,0,0:
-8.3705,-1.13,0,315,0:
-6.1678,-0.03,0,90,0:
-9.8705,0.47,0,225,0:
-6.7705,1.47,0,45,0:
-6.2705,-2.03,0,315,0:
-8.3705,0.97,0,270,0
;-6.7705,2.77,0,315,0:
-4.2705,0.87,0,270,0:
-7.9705,0.37,0,135,0:
-9.4705,1.17,0,90,0:
-8.3705,-0.93,0,315,0:
-10.9705,0.37,0,180,0:
-6.7705,-1.43,0,90,0
;-7.2705,3.47,0,180,0:
-4.3705,3.47,0,0,0:
-5.1705,1.27,0,315,0:
-5.9705,-0.43,0,135,0:
-3.8705,1.47,0,45,0:
-7.2705,0.47,180,269,1:
-5.4705,-1.93,0,90,0
;-9.0705,-0.53,0,225,0:
-7.9705,3.97,0,90,0:
-10.4705,1.17,0,270,0:
-5.9705,-0.43,0,135,0:
-5.9705,6.17,0,45,0:
-7.2705,0.47,180,269,1:
-9.4705,2.57,0,135,0
