-3.6742,-2.43,0,0,0:
-6.4742,-2.23,0,270,0:
-7.8742,1.67,0,180,0:
-5.7742,1.97,0,0,0:
-9.2742,1.27,0,270,0:
-9.2742,-0.93,0,90,0:
-7.7742,3.77,0,90,0
;-4.3742,2.77,0,90,0:
-7.4742,2.97,0,0,0:
-8.6742,-1.33,0,44,0:
-8.8742,3.77,0,180,0:
-13.0742,0.77,0,0,0:
-10.9742,0.47,180,225,1:
-7.4742,0.47,0,90,0
;-3.2742,1.87,0,270,0:
-9.5742,0.17,0,45,0:
-7.5742,3.47,0,225,0:
-9.0742,-2.43,0,225,0:
-11.3742,1.17,0,270,0:
-9.8742,1.97,0,180,0:
-5.7742,3.77,0,90,0
;6.2,0.68,0,90,0:
-8.0742,0.77,0,0,0:
1.9,2.98,0,44,0:
6.06,3.01,0,180,0:
3.55,0.6,0,270,0:
-10.2742,1.57,180,0,1:
4.42,2.23,0,44,0
;6.2,0.68,0,90,0:
4.52,-1.01,0,0,0:
-3.1742,-2.63,0,90,0:
6.06,3.01,0,180,0:
3.55,0.6,0,270,0:
-3.4742,-4.83,180,270,1:
4.42,2.23,0,44,0
;6.2,0.68,0,90,0:
4.52,-1.01,0,0,0:
-12.5742,0.77,0,44,0:
6.06,3.01,0,180,0:
3.55,0.6,0,270,0:
-12.4742,2.57,180,225,1:
4.42,2.23,0,44,0
;6.2,0.68,0,90,0:
4.52,-1.01,0,0,0:
-12.5742,0.77,0,44,0:
6.06,3.01,0,180,0:
3.55,0.6,0,270,0:
-4.0742,-3.63,180,45,1:
-1.9742,-3.23,0,44,0
